Age,Total,Male,Female,Year,AreaName
All Ages,"803,154","388,419","414,735",2010,West Sussex
Aged 0 to 15,"144,079","74,629","69,450",2010,West Sussex
Aged 16+,"659,075","313,790","345,285",2010,West Sussex
Aged 16 to 64,"494,315","242,549","251,766",2010,West Sussex
Aged 16 to 24,"77,992","39,545","38,447",2010,West Sussex
Aged 16 to 17,"19,322","10,005","9,317",2010,West Sussex
Aged 18 to 24,"58,670","29,540","29,130",2010,West Sussex
Aged 18 to 21,"33,748","17,196","16,552",2010,West Sussex
Aged 25 to 49,"261,059","127,529","133,530",2010,West Sussex
Aged 50 to 64,"155,264","75,475","79,789",2010,West Sussex
Aged 65+,"164,760","71,241","93,519",2010,West Sussex
Aged 0-4,"45,668","23,566","22,102",2010,West Sussex
Age 0,"9,154","4,818","4,336",2010,West Sussex
Age 1,"9,126","4,681","4,445",2010,West Sussex
Age 2,"9,360","4,751","4,609",2010,West Sussex
Age 3,"9,091","4,692","4,399",2010,West Sussex
Age 4,"8,937","4,624","4,313",2010,West Sussex
Aged 5-9,"42,762","22,176","20,586",2010,West Sussex
Age 5,"8,702","4,480","4,222",2010,West Sussex
Age 6,"8,724","4,581","4,143",2010,West Sussex
Age 7,"8,561","4,458","4,103",2010,West Sussex
Age 8,"8,211","4,164","4,047",2010,West Sussex
Age 9,"8,564","4,493","4,071",2010,West Sussex
Aged 10-14,"46,353","24,075","22,278",2010,West Sussex
Age 10,"8,934","4,545","4,389",2010,West Sussex
Age 11,"9,061","4,750","4,311",2010,West Sussex
Age 12,"9,473","4,894","4,579",2010,West Sussex
Age 13,"9,415","4,920","4,495",2010,West Sussex
Age 14,"9,470","4,966","4,504",2010,West Sussex
Aged 15-19,"46,961","24,138","22,823",2010,West Sussex
Age 15,"9,296","4,812","4,484",2010,West Sussex
Age 16,"9,751","5,092","4,659",2010,West Sussex
Age 17,"9,571","4,913","4,658",2010,West Sussex
Age 18,"9,609","4,903","4,706",2010,West Sussex
Age 19,"8,734","4,418","4,316",2010,West Sussex
Aged 20-24,"40,327","20,219","20,108",2010,West Sussex
Age 20,"7,791","4,012","3,779",2010,West Sussex
Age 21,"7,614","3,863","3,751",2010,West Sussex
Age 22,"8,246","4,116","4,130",2010,West Sussex
Age 23,"8,244","4,100","4,144",2010,West Sussex
Age 24,"8,432","4,128","4,304",2010,West Sussex
Aged 25-29,"43,931","21,731","22,200",2010,West Sussex
Age 25,"8,537","4,181","4,356",2010,West Sussex
Age 26,"8,533","4,258","4,275",2010,West Sussex
Age 27,"8,672","4,290","4,382",2010,West Sussex
Age 28,"8,909","4,433","4,476",2010,West Sussex
Age 29,"9,280","4,569","4,711",2010,West Sussex
Aged 30-34,"45,105","21,804","23,301",2010,West Sussex
Age 30,"9,444","4,426","5,018",2010,West Sussex
Age 31,"9,218","4,510","4,708",2010,West Sussex
Age 32,"8,801","4,342","4,459",2010,West Sussex
Age 33,"8,703","4,236","4,467",2010,West Sussex
Age 34,"8,939","4,290","4,649",2010,West Sussex
Aged 35-39,"52,161","25,029","27,132",2010,West Sussex
Age 35,"9,321","4,447","4,874",2010,West Sussex
Age 36,"10,028","4,834","5,194",2010,West Sussex
Age 37,"10,224","4,887","5,337",2010,West Sussex
Age 38,"10,971","5,256","5,715",2010,West Sussex
Age 39,"11,617","5,605","6,012",2010,West Sussex
Aged 40-44,"59,760","29,526","30,234",2010,West Sussex
Age 40,"11,171","5,520","5,651",2010,West Sussex
Age 41,"11,982","5,941","6,041",2010,West Sussex
Age 42,"12,026","5,964","6,062",2010,West Sussex
Age 43,"12,348","6,067","6,281",2010,West Sussex
Age 44,"12,233","6,034","6,199",2010,West Sussex
Aged 45-49,"60,102","29,439","30,663",2010,West Sussex
Age 45,"12,478","6,152","6,326",2010,West Sussex
Age 46,"12,424","6,060","6,364",2010,West Sussex
Age 47,"11,982","5,891","6,091",2010,West Sussex
Age 48,"11,812","5,725","6,087",2010,West Sussex
Age 49,"11,406","5,611","5,795",2010,West Sussex
Aged 50-54,"52,903","25,873","27,030",2010,West Sussex
Age 50,"11,006","5,423","5,583",2010,West Sussex
Age 51,"10,906","5,376","5,530",2010,West Sussex
Age 52,"10,751","5,221","5,530",2010,West Sussex
Age 53,"10,178","4,927","5,251",2010,West Sussex
Age 54,"10,062","4,926","5,136",2010,West Sussex
Aged 55-59,"48,032","23,456","24,576",2010,West Sussex
Age 55,"9,735","4,841","4,894",2010,West Sussex
Age 56,"9,716","4,784","4,932",2010,West Sussex
Age 57,"9,640","4,765","4,875",2010,West Sussex
Age 58,"9,482","4,499","4,983",2010,West Sussex
Age 59,"9,459","4,567","4,892",2010,West Sussex
Aged 60-64,"54,329","26,146","28,183",2010,West Sussex
Age 60,"9,964","4,848","5,116",2010,West Sussex
Age 61,"10,474","5,056","5,418",2010,West Sussex
Age 62,"11,387","5,493","5,894",2010,West Sussex
Age 63,"12,647","5,999","6,648",2010,West Sussex
Age 64,"9,857","4,750","5,107",2010,West Sussex
Aged 65-69,"43,369","20,885","22,484",2010,West Sussex
Age 65,"9,607","4,623","4,984",2010,West Sussex
Age 66,"9,460","4,550","4,910",2010,West Sussex
Age 67,"9,189","4,430","4,759",2010,West Sussex
Age 68,"8,036","3,902","4,134",2010,West Sussex
Age 69,"7,077","3,380","3,697",2010,West Sussex
Aged 70-74,"37,169","17,145","20,024",2010,West Sussex
Age 70,"7,705","3,561","4,144",2010,West Sussex
Age 71,"7,628","3,538","4,090",2010,West Sussex
Age 72,"7,584","3,510","4,074",2010,West Sussex
Age 73,"7,233","3,360","3,873",2010,West Sussex
Age 74,"7,019","3,176","3,843",2010,West Sussex
Aged 75-79,"32,123","14,191","17,932",2010,West Sussex
Age 75,"6,858","3,118","3,740",2010,West Sussex
Age 76,"6,448","2,878","3,570",2010,West Sussex
Age 77,"6,253","2,753","3,500",2010,West Sussex
Age 78,"6,261","2,706","3,555",2010,West Sussex
Age 79,"6,303","2,736","3,567",2010,West Sussex
Aged 80-84,"25,818","10,533","15,285",2010,West Sussex
Age 80,"5,866","2,495","3,371",2010,West Sussex
Age 81,"5,633","2,313","3,320",2010,West Sussex
Age 82,"5,117","2,101","3,016",2010,West Sussex
Age 83,"4,746","1,899","2,847",2010,West Sussex
Age 84,"4,456","1,725","2,731",2010,West Sussex
Aged 85+,"26,281","8,487","17,794",2010,West Sussex
Age 85,"4,074","1,520","2,554",2010,West Sussex
Age 86,"3,715","1,378","2,337",2010,West Sussex
Age 87,"3,390","1,175","2,215",2010,West Sussex
Age 88,"3,064",994,"2,070",2010,West Sussex
Age 89,"2,922",878,"2,044",2010,West Sussex
Aged 90+,"9,116","2,542","6,574",2010,West Sussex
All Ages,"863,980","420,317","443,663",2019,West Sussex
Aged 0 to 15,"158,188","81,641","76,547",2019,West Sussex
Aged 16+,"705,792","338,676","367,116",2019,West Sussex
Aged 16 to 64,"507,009","249,451","257,558",2019,West Sussex
Aged 16 to 24,"72,559","37,736","34,823",2019,West Sussex
Aged 16 to 17,"17,919","9,178","8,741",2019,West Sussex
Aged 18 to 24,"54,640","28,558","26,082",2019,West Sussex
Aged 18 to 21,"30,251","15,806","14,445",2019,West Sussex
Aged 25 to 49,"257,260","125,207","132,053",2019,West Sussex
Aged 50 to 64,"177,190","86,508","90,682",2019,West Sussex
Aged 65+,"198,783","89,225","109,558",2019,West Sussex
Aged 0-4,"46,159","23,709","22,450",2019,West Sussex
Age 0,"8,435","4,284","4,151",2019,West Sussex
Age 1,"8,801","4,525","4,276",2019,West Sussex
Age 2,"9,224","4,757","4,467",2019,West Sussex
Age 3,"9,791","5,008","4,783",2019,West Sussex
Age 4,"9,908","5,135","4,773",2019,West Sussex
Aged 5-9,"52,292","27,132","25,160",2019,West Sussex
Age 5,"10,043","5,153","4,890",2019,West Sussex
Age 6,"10,169","5,332","4,837",2019,West Sussex
Age 7,"10,772","5,535","5,237",2019,West Sussex
Age 8,"10,623","5,506","5,117",2019,West Sussex
Age 9,"10,685","5,606","5,079",2019,West Sussex
Aged 10-14,"50,410","25,890","24,520",2019,West Sussex
Age 10,"10,526","5,403","5,123",2019,West Sussex
Age 11,"10,538","5,361","5,177",2019,West Sussex
Age 12,"10,176","5,247","4,929",2019,West Sussex
Age 13,"9,864","5,076","4,788",2019,West Sussex
Age 14,"9,306","4,803","4,503",2019,West Sussex
Aged 15-19,"43,201","22,326","20,875",2019,West Sussex
Age 15,"9,327","4,910","4,417",2019,West Sussex
Age 16,"9,103","4,720","4,383",2019,West Sussex
Age 17,"8,816","4,458","4,358",2019,West Sussex
Age 18,"8,770","4,539","4,231",2019,West Sussex
Age 19,"7,185","3,699","3,486",2019,West Sussex
Aged 20-24,"38,685","20,320","18,365",2019,West Sussex
Age 20,"6,965","3,665","3,300",2019,West Sussex
Age 21,"7,331","3,903","3,428",2019,West Sussex
Age 22,"8,020","4,263","3,757",2019,West Sussex
Age 23,"8,227","4,323","3,904",2019,West Sussex
Age 24,"8,142","4,166","3,976",2019,West Sussex
Aged 25-29,"43,949","22,151","21,798",2019,West Sussex
Age 25,"8,465","4,408","4,057",2019,West Sussex
Age 26,"8,440","4,283","4,157",2019,West Sussex
Age 27,"8,643","4,290","4,353",2019,West Sussex
Age 28,"9,192","4,619","4,573",2019,West Sussex
Age 29,"9,209","4,551","4,658",2019,West Sussex
Aged 30-34,"48,211","23,247","24,964",2019,West Sussex
Age 30,"9,417","4,578","4,839",2019,West Sussex
Age 31,"9,647","4,715","4,932",2019,West Sussex
Age 32,"9,457","4,589","4,868",2019,West Sussex
Age 33,"9,716","4,655","5,061",2019,West Sussex
Age 34,"9,974","4,710","5,264",2019,West Sussex
Aged 35-39,"52,973","25,274","27,699",2019,West Sussex
Age 35,"9,865","4,765","5,100",2019,West Sussex
Age 36,"10,141","4,803","5,338",2019,West Sussex
Age 37,"10,842","5,167","5,675",2019,West Sussex
Age 38,"10,962","5,331","5,631",2019,West Sussex
Age 39,"11,163","5,208","5,955",2019,West Sussex
Aged 40-44,"52,748","25,501","27,247",2019,West Sussex
Age 40,"11,085","5,333","5,752",2019,West Sussex
Age 41,"10,476","5,121","5,355",2019,West Sussex
Age 42,"10,188","4,990","5,198",2019,West Sussex
Age 43,"10,317","5,012","5,305",2019,West Sussex
Age 44,"10,682","5,045","5,637",2019,West Sussex
Aged 45-49,"59,379","29,034","30,345",2019,West Sussex
Age 45,"11,274","5,461","5,813",2019,West Sussex
Age 46,"11,425","5,522","5,903",2019,West Sussex
Age 47,"12,162","5,968","6,194",2019,West Sussex
Age 48,"12,541","6,091","6,450",2019,West Sussex
Age 49,"11,977","5,992","5,985",2019,West Sussex
Aged 50-54,"63,709","31,540","32,169",2019,West Sussex
Age 50,"12,551","6,238","6,313",2019,West Sussex
Age 51,"12,601","6,250","6,351",2019,West Sussex
Age 52,"12,901","6,365","6,536",2019,West Sussex
Age 53,"12,670","6,275","6,395",2019,West Sussex
Age 54,"12,986","6,412","6,574",2019,West Sussex
Aged 55-59,"60,434","29,435","30,999",2019,West Sussex
Age 55,"12,872","6,220","6,652",2019,West Sussex
Age 56,"12,428","6,125","6,303",2019,West Sussex
Age 57,"12,120","5,833","6,287",2019,West Sussex
Age 58,"11,841","5,808","6,033",2019,West Sussex
Age 59,"11,173","5,449","5,724",2019,West Sussex
Aged 60-64,"53,047","25,533","27,514",2019,West Sussex
Age 60,"11,295","5,479","5,816",2019,West Sussex
Age 61,"11,019","5,293","5,726",2019,West Sussex
Age 62,"10,423","4,968","5,455",2019,West Sussex
Age 63,"10,263","4,925","5,338",2019,West Sussex
Age 64,"10,047","4,868","5,179",2019,West Sussex
Aged 65-69,"49,436","23,472","25,964",2019,West Sussex
Age 65,"10,044","4,844","5,200",2019,West Sussex
Age 66,"9,863","4,790","5,073",2019,West Sussex
Age 67,"9,668","4,497","5,171",2019,West Sussex
Age 68,"9,731","4,567","5,164",2019,West Sussex
Age 69,"10,130","4,774","5,356",2019,West Sussex
Aged 70-74,"53,233","24,870","28,363",2019,West Sussex
Age 70,"10,625","4,968","5,657",2019,West Sussex
Age 71,"11,253","5,239","6,014",2019,West Sussex
Age 72,"12,499","5,833","6,666",2019,West Sussex
Age 73,"9,665","4,515","5,150",2019,West Sussex
Age 74,"9,191","4,315","4,876",2019,West Sussex
Aged 75-79,"37,565","17,368","20,197",2019,West Sussex
Age 75,"8,933","4,260","4,673",2019,West Sussex
Age 76,"8,579","3,961","4,618",2019,West Sussex
Age 77,"7,170","3,361","3,809",2019,West Sussex
Age 78,"6,250","2,873","3,377",2019,West Sussex
Age 79,"6,633","2,913","3,720",2019,West Sussex
Aged 80-84,"28,362","12,320","16,042",2019,West Sussex
Age 80,"6,371","2,769","3,602",2019,West Sussex
Age 81,"6,157","2,744","3,413",2019,West Sussex
Age 82,"5,664","2,485","3,179",2019,West Sussex
Age 83,"5,245","2,259","2,986",2019,West Sussex
Age 84,"4,925","2,063","2,862",2019,West Sussex
Aged 85+,"30,187","11,195","18,992",2019,West Sussex
Age 85,"4,466","1,833","2,633",2019,West Sussex
Age 86,"3,962","1,583","2,379",2019,West Sussex
Age 87,"3,703","1,462","2,241",2019,West Sussex
Age 88,"3,531","1,394","2,137",2019,West Sussex
Age 89,"3,044","1,173","1,871",2019,West Sussex
Aged 90+,"11,481","3,750","7,731",2019,West Sussex
All Ages,"867,635","421,628","446,007",2020,West Sussex
Aged 0 to 15,"158,882","81,748","77,134",2020,West Sussex
Aged 16+,"708,753","339,880","368,873",2020,West Sussex
Aged 16 to 64,"507,785","249,484","258,301",2020,West Sussex
Aged 16 to 24,"72,189","37,633","34,556",2020,West Sussex
Aged 16 to 17,"18,481","9,649","8,832",2020,West Sussex
Aged 18 to 24,"53,708","27,984","25,724",2020,West Sussex
Aged 18 to 21,"29,432","15,269","14,163",2020,West Sussex
Aged 25 to 49,"256,129","124,132","131,997",2020,West Sussex
Aged 50 to 64,"179,467","87,719","91,748",2020,West Sussex
Aged 65+,"200,968","90,396","110,572",2020,West Sussex
Aged 0-4,"45,420","23,204","22,216",2020,West Sussex
Age 0,"8,277","4,156","4,121",2020,West Sussex
Age 1,"8,653","4,412","4,241",2020,West Sussex
Age 2,"9,064","4,652","4,412",2020,West Sussex
Age 3,"9,456","4,888","4,568",2020,West Sussex
Age 4,"9,970","5,096","4,874",2020,West Sussex
Aged 5-9,"52,079","26,901","25,178",2020,West Sussex
Age 5,"10,060","5,195","4,865",2020,West Sussex
Age 6,"10,121","5,176","4,945",2020,West Sussex
Age 7,"10,295","5,407","4,888",2020,West Sussex
Age 8,"10,880","5,580","5,300",2020,West Sussex
Age 9,"10,723","5,543","5,180",2020,West Sussex
Aged 10-14,"52,054","26,831","25,223",2020,West Sussex
Age 10,"10,759","5,655","5,104",2020,West Sussex
Age 11,"10,599","5,434","5,165",2020,West Sussex
Age 12,"10,709","5,443","5,266",2020,West Sussex
Age 13,"10,219","5,270","4,949",2020,West Sussex
Age 14,"9,768","5,029","4,739",2020,West Sussex
Aged 15-19,"43,614","22,570","21,044",2020,West Sussex
Age 15,"9,329","4,812","4,517",2020,West Sussex
Age 16,"9,367","4,932","4,435",2020,West Sussex
Age 17,"9,114","4,717","4,397",2020,West Sussex
Age 18,"8,570","4,355","4,215",2020,West Sussex
Age 19,"7,234","3,754","3,480",2020,West Sussex
Aged 20-24,"37,904","19,875","18,029",2020,West Sussex
Age 20,"6,581","3,404","3,177",2020,West Sussex
Age 21,"7,047","3,756","3,291",2020,West Sussex
Age 22,"7,611","4,013","3,598",2020,West Sussex
Age 23,"8,367","4,381","3,986",2020,West Sussex
Age 24,"8,298","4,321","3,977",2020,West Sussex
Aged 25-29,"43,103","21,665","21,438",2020,West Sussex
Age 25,"8,199","4,163","4,036",2020,West Sussex
Age 26,"8,497","4,349","4,148",2020,West Sussex
Age 27,"8,488","4,286","4,202",2020,West Sussex
Age 28,"8,711","4,292","4,419",2020,West Sussex
Age 29,"9,208","4,575","4,633",2020,West Sussex
Aged 30-34,"48,310","23,259","25,051",2020,West Sussex
Age 30,"9,402","4,579","4,823",2020,West Sussex
Age 31,"9,510","4,522","4,988",2020,West Sussex
Age 32,"9,888","4,780","5,108",2020,West Sussex
Age 33,"9,628","4,652","4,976",2020,West Sussex
Age 34,"9,882","4,726","5,156",2020,West Sussex
Aged 35-39,"52,554","24,990","27,564",2020,West Sussex
Age 35,"10,128","4,763","5,365",2020,West Sussex
Age 36,"10,101","4,848","5,253",2020,West Sussex
Age 37,"10,263","4,824","5,439",2020,West Sussex
Age 38,"10,964","5,187","5,777",2020,West Sussex
Age 39,"11,098","5,368","5,730",2020,West Sussex
Aged 40-44,"53,700","25,925","27,775",2020,West Sussex
Age 40,"11,259","5,267","5,992",2020,West Sussex
Age 41,"11,188","5,397","5,791",2020,West Sussex
Age 42,"10,568","5,144","5,424",2020,West Sussex
Age 43,"10,310","5,059","5,251",2020,West Sussex
Age 44,"10,375","5,058","5,317",2020,West Sussex
Aged 45-49,"58,462","28,293","30,169",2020,West Sussex
Age 45,"10,762","5,095","5,667",2020,West Sussex
Age 46,"11,365","5,514","5,851",2020,West Sussex
Age 47,"11,513","5,546","5,967",2020,West Sussex
Age 48,"12,208","5,986","6,222",2020,West Sussex
Age 49,"12,614","6,152","6,462",2020,West Sussex
Aged 50-54,"62,879","31,217","31,662",2020,West Sussex
Age 50,"12,054","6,034","6,020",2020,West Sussex
Age 51,"12,608","6,281","6,327",2020,West Sussex
Age 52,"12,640","6,253","6,387",2020,West Sussex
Age 53,"12,926","6,397","6,529",2020,West Sussex
Age 54,"12,651","6,252","6,399",2020,West Sussex
Aged 55-59,"62,337","30,438","31,899",2020,West Sussex
Age 55,"12,993","6,417","6,576",2020,West Sussex
Age 56,"12,923","6,261","6,662",2020,West Sussex
Age 57,"12,447","6,121","6,326",2020,West Sussex
Age 58,"12,151","5,848","6,303",2020,West Sussex
Age 59,"11,823","5,791","6,032",2020,West Sussex
Aged 60-64,"54,251","26,064","28,187",2020,West Sussex
Age 60,"11,205","5,439","5,766",2020,West Sussex
Age 61,"11,298","5,447","5,851",2020,West Sussex
Age 62,"11,075","5,318","5,757",2020,West Sussex
Age 63,"10,416","4,942","5,474",2020,West Sussex
Age 64,"10,257","4,918","5,339",2020,West Sussex
Aged 65-69,"49,393","23,465","25,928",2020,West Sussex
Age 65,"10,099","4,876","5,223",2020,West Sussex
Age 66,"10,049","4,828","5,221",2020,West Sussex
Age 67,"9,823","4,742","5,081",2020,West Sussex
Age 68,"9,680","4,463","5,217",2020,West Sussex
Age 69,"9,742","4,556","5,186",2020,West Sussex
Aged 70-74,"53,660","24,996","28,664",2020,West Sussex
Age 70,"10,044","4,707","5,337",2020,West Sussex
Age 71,"10,567","4,956","5,611",2020,West Sussex
Age 72,"11,151","5,159","5,992",2020,West Sussex
Age 73,"12,394","5,763","6,631",2020,West Sussex
Age 74,"9,504","4,411","5,093",2020,West Sussex
Aged 75-79,"39,167","18,267","20,900",2020,West Sussex
Age 75,"9,050","4,252","4,798",2020,West Sussex
Age 76,"8,763","4,163","4,600",2020,West Sussex
Age 77,"8,367","3,845","4,522",2020,West Sussex
Age 78,"6,966","3,253","3,713",2020,West Sussex
Age 79,"6,021","2,754","3,267",2020,West Sussex
Aged 80-84,"28,641","12,423","16,218",2020,West Sussex
Age 80,"6,372","2,762","3,610",2020,West Sussex
Age 81,"6,124","2,647","3,477",2020,West Sussex
Age 82,"5,880","2,611","3,269",2020,West Sussex
Age 83,"5,343","2,314","3,029",2020,West Sussex
Age 84,"4,922","2,089","2,833",2020,West Sussex
Aged 85+,"30,107","11,245","18,862",2020,West Sussex
Age 85,"4,554","1,900","2,654",2020,West Sussex
Age 86,"4,085","1,660","2,425",2020,West Sussex
Age 87,"3,577","1,389","2,188",2020,West Sussex
Age 88,"3,330","1,283","2,047",2020,West Sussex
Age 89,"3,049","1,176","1,873",2020,West Sussex
Aged 90+,"11,512","3,837","7,675",2020,West Sussex