Date, Age, Value, Location
2015/16, 18-64, 3730, West Sussex
2015/16, 18-64, 500670, England
2015/16, 65+, 10325, West Sussex
2015/16, 65+, 1310060, England
2016/17, 18-64, 3825, West Sussex
2016/17, 18-64, 508620, England
2016/17, 65+, 10805, West Sussex
2016/17, 65+, 1305795, England
2017/18, 18-64, 5630, West Sussex
2017/18, 18-64, 523920, England
2017/18, 65+, 16580, West Sussex
2017/18, 65+, 1320000, England
2018/19, 18-64, 7990, West Sussex
2018/19, 18-64, 550435, England
2018/19, 65+, 18270, West Sussex
2018/19, 65+, 1364095, England
2019/20, 18-64, 9125, West Sussex
2019/20, 18-64, 560350, England
2019/20, 65+, 25050, West Sussex
2019/20, 65+, 1370205, England
2020/21, 18-64, 5965, West Sussex
2020/21, 18-64, 577765, England
2020/21, 65+, 17075, West Sussex
2020/21, 65+, 1337875, England