Age Group,West Sussex,Adur,Arun,Chichester,Crawley,Horsham,Mid Sussex,Worthing,Sex
Total,421600,31100,77500,58400,56300,70700,74200,53500,Males
Age 0 to 24,119400,8900,19900,16000,18700,19700,21700,14800,Males
Age 25 to 49,124200,9100,20400,14500,20600,20200,22900,16400,Males
Age 50 to 64,87700,6400,16000,12700,10300,15600,15400,11300,Males
Age 65 and over,90400,6700,21100,15200,6900,15200,14200,10900,Males
Total,446000,33100,83600,63100,56200,74800,78000,57200,Females
Age 0 to 24,111600,8200,18700,15100,16700,18600,20500,14000,Females
Age 25 to 49,132100,9900,21600,15700,20800,21800,24800,17400,Females
Age 50 to 64,91800,6700,17600,13800,10000,16400,15700,11700,Females
Age 65 and over,110600,8400,25700,18500,8500,18200,17100,14200,Females
Total,867600,64200,161100,121500,112500,145500,152100,110700,All persons
Age 0 to 24,231100,17000,38700,31100,35300,38100,42100,28700,All persons
Age 25 to 49,256200,19000,42000,30200,41400,42000,47500,33800,All persons
Age 50 to 64,179500,13000,33600,26500,20200,31900,31100,23000,All persons
Age 65 and over,201000,15200,47000,33700,15600,33300,31200,25200,All persons