"Age","West Sussex","Adur","Arun","Chichester","Crawley","Horsham","Mid Sussex","Worthing","Sex"
"Total",806892,61182,149518,113794,106597,131301,139860,104640,All
"Age 0",9170,711,1448,1101,1712,1361,1580,1257,All
"Age 1",9397,745,1467,1086,1710,1481,1641,1267,All
"Age 2",9316,677,1562,1164,1573,1379,1696,1265,All
"Age 3",9268,725,1423,1130,1569,1436,1700,1285,All
"Age 4",9335,679,1486,1171,1507,1494,1726,1272,All
"Age 5",8932,649,1414,1145,1390,1483,1682,1169,All
"Age 6",8633,649,1360,1075,1306,1442,1665,1136,All
"Age 7",8808,601,1406,1155,1378,1454,1681,1133,All
"Age 8",8438,627,1352,1129,1238,1440,1609,1043,All
"Age 9",8368,584,1436,1126,1174,1432,1538,1078,All
"Age 10",8620,547,1398,1134,1235,1592,1661,1053,All
"Age 11",9019,646,1395,1210,1247,1752,1677,1092,All
"Age 12",9313,635,1516,1269,1250,1740,1749,1154,All
"Age 13",9360,647,1520,1285,1236,1691,1790,1191,All
"Age 14",9421,698,1587,1194,1276,1694,1878,1094,All
"Age 15",9557,783,1584,1259,1247,1672,1832,1180,All
"Age 16",9544,747,1582,1155,1279,1748,1874,1159,All
"Age 17",9637,754,1557,1213,1373,1803,1826,1111,All
"Age 18",9129,658,1578,1419,1191,1541,1562,1180,All
"Age 19",8100,598,1630,1471,1129,1112,1131,1029,All
"Age 20",7985,577,1545,1512,1145,1055,1088,1063,All
"Age 21",7870,548,1522,1327,1166,1023,1182,1102,All
"Age 22",8224,583,1464,1224,1404,1173,1331,1045,All
"Age 23",8705,646,1492,1138,1522,1230,1449,1228,All
"Age 24",8304,628,1420,999,1579,1179,1440,1059,All
"Age 25 to 29",44020,3131,7314,5150,9044,5858,7510,6013,All
"Age 30 to 34",46098,3363,7190,5205,9150,6732,8043,6415,All
"Age 35 to 39",50890,3947,8113,6121,8120,8200,9451,6938,All
"Age 40 to 44",59503,4532,10123,7497,8102,10310,11006,7933,All
"Age 45 to 49",60793,4450,10463,8312,7557,10978,11114,7919,All
"Age 50 to 54",53986,4003,9404,7795,6689,9784,9536,6775,All
"Age 55 to 59",48229,3679,9080,7179,5469,8353,8617,5852,All
"Age 60 to 64",54345,4301,11359,8550,5162,9109,9288,6576,All
"Age 65 to 69",44859,3658,10264,7551,3407,7279,7356,5344,All
"Age 70 to 74",37003,3057,8971,6219,2860,5851,5448,4597,All
"Age 75 to 79",31993,2602,7558,5515,2703,4903,4726,3986,All
"Age 80 to 84",26149,2082,6037,4317,2451,3814,3879,3569,All
"Age 85 to 89",16931,1348,4116,2761,1421,2356,2425,2504,All
"Age 90 and over",9640,687,2382,1531,626,1367,1473,1574,All
"Total",390567,29513,71303,54401,52698,63806,68462,50384,Male
"Age 0",4755,377,745,587,916,705,776,649,Male
"Age 1",4945,409,781,546,895,788,849,677,Male
"Age 2",4740,340,772,588,816,729,830,665,Male
"Age 3",4758,378,754,597,787,754,849,639,Male
"Age 4",4818,346,745,616,776,766,890,679,Male
"Age 5",4595,337,740,582,729,747,867,593,Male
"Age 6",4496,336,739,564,655,740,854,608,Male
"Age 7",4622,324,721,609,728,720,905,615,Male
"Age 8",4366,348,649,566,641,757,848,557,Male
"Age 9",4287,280,709,571,642,733,765,587,Male
"Age 10",4459,280,719,604,631,831,867,527,Male
"Age 11",4679,341,711,628,624,937,878,560,Male
"Age 12",4896,326,791,690,667,902,940,580,Male
"Age 13",4802,352,777,669,662,821,933,588,Male
"Age 14",4963,395,836,631,668,868,1001,564,Male
"Age 15",4983,423,817,673,647,845,975,603,Male
"Age 16",4938,377,823,582,648,926,966,616,Male
"Age 17",5053,399,805,643,691,946,981,588,Male
"Age 18",4690,315,822,710,598,778,860,607,Male
"Age 19",4071,313,791,713,571,593,572,518,Male
"Age 20",4040,288,773,730,574,583,582,510,Male
"Age 21",4018,281,801,673,583,529,603,548,Male
"Age 22",4137,271,715,661,687,595,679,529,Male
"Age 23",4335,324,744,574,707,632,760,594,Male
"Age 24",4147,319,669,497,770,612,759,521,Male
"Age 25 to 29",21772,1545,3690,2587,4388,2877,3818,2867,Male
"Age 30 to 34",22356,1599,3469,2511,4590,3195,3900,3092,Male
"Age 35 to 39",24462,1866,3861,2874,4109,3856,4496,3400,Male
"Age 40 to 44",29347,2236,4979,3617,4163,4959,5405,3988,Male
"Age 45 to 49",29700,2235,5044,3901,3802,5307,5545,3866,Male
"Age 50 to 54",26382,1964,4509,3688,3311,4857,4677,3376,Male
"Age 55 to 59",23557,1785,4349,3509,2700,4087,4280,2847,Male
"Age 60 to 64",26088,1996,5312,3982,2542,4488,4530,3238,Male
"Age 65 to 69",21614,1793,4922,3628,1702,3520,3545,2504,Male
"Age 70 to 74",17133,1362,4135,2923,1281,2767,2553,2112,Male
"Age 75 to 79",14170,1103,3433,2469,1124,2227,2143,1671,Male
"Age 80 to 84",10773,843,2522,1790,963,1621,1576,1458,Male
"Age 85 to 89",6010,498,1458,1005,527,843,831,848,Male
"Age 90 and over",2610,209,671,413,183,365,374,395,Male
"Total",416325,31669,78215,59393,53899,67495,71398,54256,Female
"Age 0",4415,334,703,514,796,656,804,608,Female
"Age 1",4452,336,686,540,815,693,792,590,Female
"Age 2",4576,337,790,576,757,650,866,600,Female
"Age 3",4510,347,669,533,782,682,851,646,Female
"Age 4",4517,333,741,555,731,728,836,593,Female
"Age 5",4337,312,674,563,661,736,815,576,Female
"Age 6",4137,313,621,511,651,702,811,528,Female
"Age 7",4186,277,685,546,650,734,776,518,Female
"Age 8",4072,279,703,563,597,683,761,486,Female
"Age 9",4081,304,727,555,532,699,773,491,Female
"Age 10",4161,267,679,530,604,761,794,526,Female
"Age 11",4340,305,684,582,623,815,799,532,Female
"Age 12",4417,309,725,579,583,838,809,574,Female
"Age 13",4558,295,743,616,574,870,857,603,Female
"Age 14",4458,303,751,563,608,826,877,530,Female
"Age 15",4574,360,767,586,600,827,857,577,Female
"Age 16",4606,370,759,573,631,822,908,543,Female
"Age 17",4584,355,752,570,682,857,845,523,Female
"Age 18",4439,343,756,709,593,763,702,573,Female
"Age 19",4029,285,839,758,558,519,559,511,Female
"Age 20",3945,289,772,782,571,472,506,553,Female
"Age 21",3852,267,721,654,583,494,579,554,Female
"Age 22",4087,312,749,563,717,578,652,516,Female
"Age 23",4370,322,748,564,815,598,689,634,Female
"Age 24",4157,309,751,502,809,567,681,538,Female
"Age 25 to 29",22248,1586,3624,2563,4656,2981,3692,3146,Female
"Age 30 to 34",23742,1764,3721,2694,4560,3537,4143,3323,Female
"Age 35 to 39",26428,2081,4252,3247,4011,4344,4955,3538,Female
"Age 40 to 44",30156,2296,5144,3880,3939,5351,5601,3945,Female
"Age 45 to 49",31093,2215,5419,4411,3755,5671,5569,4053,Female
"Age 50 to 54",27604,2039,4895,4107,3378,4927,4859,3399,Female
"Age 55 to 59",24672,1894,4731,3670,2769,4266,4337,3005,Female
"Age 60 to 64",28257,2305,6047,4568,2620,4621,4758,3338,Female
"Age 65 to 69",23245,1865,5342,3923,1705,3759,3811,2840,Female
"Age 70 to 74",19870,1695,4836,3296,1579,3084,2895,2485,Female
"Age 75 to 79",17823,1499,4125,3046,1579,2676,2583,2315,Female
"Age 80 to 84",15376,1239,3515,2527,1488,2193,2303,2111,Female
"Age 85 to 89",10921,850,2658,1756,894,1513,1594,1656,Female
"Age 90 and over",7030,478,1711,1118,443,1002,1099,1179,Female