"Age","2021","2022","2023","2024","2025"
"All Ages",877911,883895,889665,895202,900435
"Age 0 - 4",44465,43897,43528,43462,43345
"Aged 5-9",52267,51494,50967,50138,49309
"Aged 10-14",53146,54377,54619,54757,54635
"Aged 15-19",44262,45592,47129,48482,49974
"Aged 20-24",37163,36030,35361,35089,35184
"Aged 25-29",43791,43878,43834,43424,42868
"Aged 30-34",49253,49531,49233,49070,48616
"Aged 35-39",52740,52378,52851,53378,53762
"Aged 40-44",55370,56790,57425,57138,56809
"Aged 45-49",56701,55256,54724,55210,56354
"Aged 50-54",63109,62613,61793,60813,59913
"Aged 55-59",63830,64919,65366,65290,64472
"Aged 60-64",56383,58330,60084,61989,64097
"Aged 65-69",50223,51119,52413,53861,55306
"Aged 70-74",53744,50872,49485,48990,49005
"Aged 75-79",41917,46391,48452,49632,50197
"Aged 80-84",28724,29195,30538,32044,33573
"Aged 85+",30814,31228,31863,32431,33021