,Pregnancy,Infancy,Childhood,Adolescence,Adulthood,Elderly,
Short term,Reduced antenatal care,Perinatal mental health *,'Hidden' Safeguarding issues,Increased negative health behaviours,"Increased negative health behaviours (e.g. substance misuse, alcohol, smoking, gambling, inactivity) amongst some sections of society *",Social isolation and loneliness,
,Perinatal mental health,Breastfeeding support,Developmental and mental health checks not completed,Deferred sexual health services,"Paused commissioned lifestyle services, deferred cancer screening, NHS health checks, reduced health seeking for urgent issues",Limited physical activity,
,,Immunisation uptake *,Adverse Childhood experiences,Low mood and high anxiety,Economic uncertainty,,
,,Non-accidental injuries,,,"New anxiety and worsening existing mental illness, PTSD for carers/health workers and families",,
Medium term,Safeguarding risks,Unplanned pregnancies,Adverse Childhood experiences,Increased demand for mental health services,"Fewer recovering from substance misuse, increased BBV infections, adults smoking, adults overweight/obese *",Dementia diagosis *,
,Risky behaviours (Smoking/alcohol/substance misuse),Admissions for gastrointestinal and respiratory infections *,,Unwanted pregnancies *,"Cancer screening coverage (breast, cervical, bowel) and late presentation *",Injuries due to falls *,
,,Population vaccination coverage reduced and outbreaks,,STI diagnoses,"Increased demand for grief and bereavement services, employment/training support, claiming out of work benefits",Fuel poverty *,
,,,,,People with high anxiety *,,
Long term,Low birthweight *,"Higher risk of poor mental health, physical health, social and educational outcomes",School readiness *,Alcohol and substance misuse admissions under 18s *,Increased demand for mental health services,Increased morbidity and mortality,
,Poor attachment,,,Obese children *,Under 75s mortality from cardiovascular and liver disease and cancer *,,
,Admissions for deliberate/intentional harm *,,,Admissions for self harm *,Worsening social inequalities,,
,Smoking at time of delivery *,,,,Suicide,,